小一時間,9683,13557,-5000,名詞,普通名詞,コイチジカン,0,*,*,71
Ubuntu,11468,13960,-5000,名詞,固有名詞,ウブントゥ,3,*,*,72
2ch,11468,13960,-5000,名詞,固有名詞,ニチャン,0,*,*,73
大文字,9683,13557,-5000,名詞,普通名詞,オオモジ,0,*,*,74
小文字,9683,13557,-5000,名詞,普通名詞,コモジ,0,*,*,75
RHEL,11468,13960,-5000,名詞,固有名詞,レル,0,*,*,76
一次,9683,13557,-5000,名詞,普通名詞,イチジ,2,*,*,77
Advanced mission critical,9683,13557,-5000,名詞,普通名詞,アドバンスドミッションクリティカル,14,*,*,78
Update,9683,13557,-5000,名詞,普通名詞,アップデート,0,*,*,79
Support,9683,13557,-5000,名詞,普通名詞,サポート,0,*,*,80
wav,9683,13557,-5000,名詞,普通名詞,ウェーブ,1,*,*,81
ffmpeg,11468,13960,-5000,名詞,固有名詞,エフエフエムペグ,5,*,*,82
GraphicsMagick,11468,13960,-5000,名詞,固有名詞,グラフィックスマジック,7,*,*,83
pdfwav,11468,13960,-5000,名詞,固有名詞,ピーディーエフウェーヴ,7,*,*,84
txt,9683,13557,-5000,名詞,普通名詞,テキスト,1,*,*,85
OpenDocument,11468,13960,-5000,名詞,固有名詞,オープンドキュメント,5,*,*,86
unoconv,9683,13557,-5000,名詞,普通名詞,ウノコンヴ,0,*,*,87
LibreOffice,9683,13557,-5000,名詞,普通名詞,リブレオフィス,5,*,*,88
notes,9683,13557,-5000,名詞,普通名詞,ノーツ,1,*,*,89
